empresa,tipo,documento,motor,consume_secuencia,rango_configurado,proximo_ncf,estado
Just Office SRL,E33,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E34,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E41,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E43,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E44,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E45,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E46,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,E47,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
Just Office SRL,B11,emitido,Motor Fiscal Justech,Sí,—,—,Falta rango
Just Office SRL,B13,emitido,Motor Fiscal Justech,Sí,—,—,Falta rango
Just Office SRL,B17,emitido,Motor Fiscal Justech,Sí,—,—,Falta rango
PlugSafe SRL,B01,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B02,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B03,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B04,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B14,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B15,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B16,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E31,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E32,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E33,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E34,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E41,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E43,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E44,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E45,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E46,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,E47,recibido,LATAM (l10n.latam.document.type),No,N/A (NCF del proveedor),N/A,Correcto
PlugSafe SRL,B11,emitido,Motor Fiscal Justech,Sí,—,—,Falta rango
PlugSafe SRL,B13,emitido,Motor Fiscal Justech,Sí,—,—,Falta rango
PlugSafe SRL,B17,emitido,Motor Fiscal Justech,Sí,—,—,Falta rango
