origin,fuerte,confirmer,result,count,consistency
40,72,26,66,32,NIVEL_4_REPETICION_ALTA
38,63,22,67,32,NIVEL_4_REPETICION_ALTA
26,27,76,46,32,NIVEL_4_REPETICION_ALTA
43,44,29,21,32,NIVEL_4_REPETICION_ALTA
42,7,29,27,32,NIVEL_4_REPETICION_ALTA
42,7,29,11,32,NIVEL_4_REPETICION_ALTA
42,7,29,90,32,NIVEL_4_REPETICION_ALTA
39,94,58,82,32,NIVEL_4_REPETICION_ALTA
47,79,67,22,32,NIVEL_4_REPETICION_ALTA
47,79,67,51,32,NIVEL_4_REPETICION_ALTA
39,94,84,68,32,NIVEL_4_REPETICION_ALTA
39,94,84,40,32,NIVEL_4_REPETICION_ALTA
