Username,Sample,Session_ID,Method,Interface,Source_IP,Login_time_field_UTC,Is_current,Other_notes,Classification
fortinet-knhhe,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortinet-mkoqd,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortinet-rxext,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortinet-support,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortinet-tech,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortinet-untqm,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortinet-wgnud,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fortivpnadmin,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
fsantana,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",B — PROBABLEMENTE LEGÍTIMA
ipsecsvc,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
justech,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",B — PROBABLEMENTE LEGÍTIMA
ldap,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
mgmt,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
oldadmin,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
safeguardadmin,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
support_forti,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
system,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
usevpn_admin,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
vpnforti_sup,no session in available snapshots,,,,,,,"Sin login observado en muestras 18:12 y 20:15 UTC. Historial largo NO VERIFICADO (logs locales vacios, syslog disable, FAZ disable, API event 404).",D — SOSPECHOSA
