f1,f1_activation,f1_fulfill_date,f1_day_offset,f1_fulfill_lottery,f2,f2_origin,f2_confirmer,same_day_new_strong
46,2020-11-13,2020-11-20,7,Quiniela Loteka,86,35,46,True
46,2020-11-13,2020-11-20,7,Quiniela Loteka,90,46,35,True
63,2020-11-18,2020-11-20,2,Gana Mas,86,35,46,True
63,2020-11-18,2020-11-20,2,Gana Mas,90,46,35,True
85,2020-11-17,2020-11-19,2,Loteria Nacional,48,36,97,True
48,2020-11-19,2020-11-22,3,New York 10:30,7,42,63,True
86,2020-11-20,2020-11-22,2,Quiniela Leidsa,7,42,63,True
90,2020-11-20,2020-11-23,3,Loteria Nacional,92,43,76,True
8,2020-12-14,2020-12-19,5,Quiniela Real,35,49,7,True
27,2020-12-15,2020-12-20,5,Gana Mas,79,47,88,True
73,2020-12-18,2020-12-22,4,Loteria Nacional,77,32,73,True
57,2021-01-03,2021-01-07,4,Quiniela Leidsa,5,37,50,True
70,2021-01-06,2021-01-07,1,Quiniela Loteka,5,37,50,True
73,2021-01-11,2021-01-13,2,Quiniela Leidsa,68,47,76,True
73,2021-01-11,2021-01-13,2,Quiniela Leidsa,79,47,67,True
90,2021-01-16,2021-01-17,1,Quiniela Leidsa,60,43,6,True
73,2021-01-20,2021-01-25,5,New York 10:30,59,44,34,True
11,2021-02-08,2021-02-10,2,Quiniela Loteka,9,39,29,True
11,2021-02-08,2021-02-10,2,Quiniela Loteka,41,39,12,True
11,2021-02-08,2021-02-10,2,Quiniela Loteka,69,45,11,True
29,2021-02-08,2021-02-09,1,Gana Mas,9,39,42,True
29,2021-02-08,2021-02-09,1,Gana Mas,41,39,12,True
29,2021-02-08,2021-02-09,1,Gana Mas,50,42,5,True
29,2021-02-08,2021-02-09,1,Gana Mas,62,39,75,True
29,2021-02-08,2021-02-09,1,Gana Mas,71,42,12,True
50,2021-02-09,2021-02-15,6,New York 10:30,44,43,29,True
50,2021-02-09,2021-02-15,6,New York 10:30,81,43,52,True
50,2021-02-09,2021-02-15,6,New York 10:30,90,46,29,True
62,2021-02-09,2021-02-12,3,Gana Mas,9,39,29,True
62,2021-02-09,2021-02-12,3,Gana Mas,14,39,54,True
9,2021-02-12,2021-02-18,6,Quiniela Leidsa,7,42,9,True
9,2021-02-12,2021-02-18,6,Quiniela Leidsa,32,36,45,True
9,2021-02-12,2021-02-18,6,Quiniela Leidsa,48,36,93,True
27,2021-02-13,2021-02-18,5,Quiniela Loteka,7,42,9,True
27,2021-02-13,2021-02-18,5,Quiniela Loteka,32,36,45,True
27,2021-02-13,2021-02-18,5,Quiniela Loteka,48,36,93,True
81,2021-02-15,2021-02-16,1,Loteria Nacional,58,46,84,True
81,2021-02-15,2021-02-16,1,Loteria Nacional,73,48,23,True
88,2021-02-17,2021-02-22,5,New York 10:30,27,26,76,True
88,2021-02-17,2021-02-22,5,New York 10:30,34,51,26,True
88,2021-02-17,2021-02-22,5,New York 10:30,51,40,21,True
88,2021-02-17,2021-02-22,5,New York 10:30,72,40,26,True
48,2021-02-18,2021-02-20,2,New York 2:30,53,28,29,True
48,2021-02-18,2021-02-20,2,New York 2:30,63,38,29,True
65,2021-02-27,2021-03-03,4,Gana Mas,37,46,65,True
72,2021-03-09,2021-03-14,5,New York 2:30,22,44,7,True
72,2021-03-09,2021-03-14,5,New York 2:30,70,44,7,True
72,2021-03-09,2021-03-14,5,New York 2:30,90,46,7,True
72,2021-03-09,2021-03-14,5,New York 2:30,91,44,69,True
48,2021-03-13,2021-03-14,1,Quiniela Real,22,44,7,True
48,2021-03-13,2021-03-14,1,Quiniela Real,70,44,7,True
48,2021-03-13,2021-03-14,1,Quiniela Real,90,46,7,True
48,2021-03-13,2021-03-14,1,Quiniela Real,91,44,69,True
37,2021-03-12,2021-03-15,3,Gana Mas,9,39,22,True
37,2021-03-12,2021-03-15,3,Gana Mas,32,36,45,True
22,2021-03-14,2021-03-15,1,Loteria Nacional,9,39,22,True
22,2021-03-14,2021-03-15,1,Loteria Nacional,32,36,45,True
91,2021-03-14,2021-03-15,1,Quiniela Leidsa,9,39,22,True
91,2021-03-14,2021-03-15,1,Quiniela Leidsa,32,36,45,True
71,2021-03-12,2021-03-13,1,Gana Mas,32,36,45,True
71,2021-03-12,2021-03-13,1,Gana Mas,48,36,97,True
90,2021-03-14,2021-03-21,7,Gana Mas,44,43,22,True
90,2021-03-14,2021-03-21,7,Gana Mas,92,43,27,True
9,2021-03-15,2021-03-20,5,Quiniela Leidsa,13,41,17,True
29,2021-03-18,2021-03-25,7,New York 2:30,35,49,44,True
29,2021-03-22,2021-03-25,3,New York 2:30,35,49,44,True
71,2021-03-18,2021-03-19,1,Quiniela Leidsa,42,37,44,True
13,2021-03-20,2021-03-23,3,Quiniela Loteka,53,28,9,True
13,2021-03-20,2021-03-23,3,Quiniela Loteka,73,48,28,True
92,2021-03-21,2021-03-23,2,Quiniela Real,53,28,9,True
92,2021-03-21,2021-03-23,2,Quiniela Real,73,48,28,True
73,2021-03-22,2021-03-23,1,New York 2:30,53,28,9,True
44,2021-03-21,2021-03-22,1,Gana Mas,29,41,35,True
44,2021-03-21,2021-03-22,1,Gana Mas,53,28,35,True
44,2021-03-21,2021-03-22,1,Gana Mas,73,48,28,True
44,2021-03-21,2021-03-22,1,Gana Mas,89,48,41,True
44,2021-03-21,2021-03-22,1,Gana Mas,93,41,48,True
53,2021-03-22,2021-03-24,2,Quiniela Real,48,36,93,True
93,2021-03-22,2021-03-24,2,New York 10:30,48,36,93,True
53,2021-03-23,2021-03-24,1,Quiniela Real,48,36,93,True
44,2021-03-27,2021-04-01,5,New York 2:30,90,46,22,True
56,2021-04-13,2021-04-17,4,Quiniela Leidsa,7,42,22,True
56,2021-04-13,2021-04-17,4,Quiniela Leidsa,23,42,28,True
56,2021-04-13,2021-04-17,4,Quiniela Leidsa,26,28,59,True
56,2021-04-13,2021-04-17,4,Quiniela Leidsa,53,28,22,True
56,2021-04-13,2021-04-17,4,Quiniela Leidsa,90,46,22,True
23,2021-04-17,2021-04-20,3,Gana Mas,6,35,60,True
23,2021-04-17,2021-04-20,3,Gana Mas,22,44,35,True
23,2021-04-17,2021-04-20,3,Gana Mas,29,41,35,True
23,2021-04-17,2021-04-20,3,Gana Mas,70,44,35,True
23,2021-04-17,2021-04-20,3,Gana Mas,89,48,41,True
23,2021-04-17,2021-04-20,3,Gana Mas,93,41,48,True
53,2021-04-17,2021-04-23,6,New York 2:30,12,43,56,True
53,2021-04-17,2021-04-23,6,New York 2:30,44,43,53,True
53,2021-04-17,2021-04-23,6,New York 2:30,63,38,53,True
22,2021-04-20,2021-04-24,4,New York 2:30,9,39,29,True
22,2021-04-20,2021-04-24,4,New York 2:30,41,39,71,True
89,2021-04-20,2021-04-24,4,Quiniela Loteka,9,39,29,True
89,2021-04-20,2021-04-24,4,Quiniela Loteka,41,39,71,True
63,2021-04-23,2021-04-29,6,Quiniela Real,9,39,53,True
63,2021-04-23,2021-04-29,6,Quiniela Real,20,38,2,True
44,2021-04-28,2021-05-03,5,Gana Mas,35,49,53,True
44,2021-04-28,2021-05-03,5,Gana Mas,56,40,12,True
44,2021-04-28,2021-05-03,5,Gana Mas,69,45,57,True
9,2021-04-29,2021-05-03,4,Gana Mas,35,49,53,True
9,2021-04-29,2021-05-03,4,Gana Mas,56,40,12,True
9,2021-04-29,2021-05-03,4,Gana Mas,69,45,57,True
9,2021-04-30,2021-05-03,3,Gana Mas,35,49,53,True
9,2021-04-30,2021-05-03,3,Gana Mas,56,40,12,True
9,2021-04-30,2021-05-03,3,Gana Mas,69,45,57,True
20,2021-04-29,2021-04-30,1,New York 10:30,9,39,70,True
20,2021-04-29,2021-04-30,1,New York 10:30,42,37,70,True
20,2021-04-29,2021-04-30,1,New York 10:30,82,33,37,True
63,2021-04-29,2021-05-01,2,New York 2:30,27,26,92,True
34,2021-05-07,2021-05-10,3,Gana Mas,31,38,74,True
34,2021-05-07,2021-05-10,3,Gana Mas,76,34,27,True
35,2021-05-08,2021-05-11,3,Quiniela Loteka,12,43,41,True
35,2021-05-08,2021-05-11,3,Quiniela Loteka,29,41,70,True
35,2021-05-08,2021-05-11,3,Quiniela Loteka,44,43,70,True
35,2021-05-08,2021-05-11,3,Quiniela Loteka,81,43,52,True
31,2021-05-10,2021-05-14,4,New York 10:30,7,42,63,True
44,2021-05-11,2021-05-15,4,Quiniela Loteka,35,49,44,True
44,2021-05-11,2021-05-15,4,Quiniela Loteka,53,28,44,True
81,2021-05-11,2021-05-12,1,Quiniela Real,82,33,65,True
83,2021-05-21,2021-05-23,2,Quiniela Leidsa,34,51,59,True
17,2021-05-25,2021-05-29,4,Quiniela Leidsa,28,43,23,True
76,2021-05-25,2021-05-28,3,Quiniela Loteka,35,49,7,True
28,2021-05-29,2021-06-04,6,Quiniela Loteka,22,44,7,True
28,2021-05-29,2021-06-04,6,Quiniela Loteka,70,44,7,True
9,2021-06-02,2021-06-07,5,Gana Mas,42,37,9,True
9,2021-06-02,2021-06-07,5,Gana Mas,65,52,37,True
88,2021-06-03,2021-06-07,4,New York 10:30,9,39,90,True
88,2021-06-03,2021-06-07,4,New York 10:30,42,37,9,True
88,2021-06-03,2021-06-07,4,New York 10:30,65,52,37,True
42,2021-06-07,2021-06-10,3,New York 2:30,35,49,90,True
42,2021-06-07,2021-06-10,3,New York 2:30,89,48,12,True
65,2021-06-07,2021-06-08,1,Gana Mas,30,39,3,True
52,2021-06-16,2021-06-19,3,Quiniela Leidsa,69,45,57,True
7,2021-06-25,2021-06-27,2,Loteria Nacional,91,44,69,True
44,2021-06-25,2021-06-27,2,Gana Mas,91,44,69,True
42,2021-07-03,2021-07-07,4,New York 10:30,7,42,90,True
42,2021-07-03,2021-07-07,4,New York 10:30,29,41,42,True
42,2021-07-03,2021-07-07,4,New York 10:30,68,47,92,True
42,2021-07-03,2021-07-07,4,New York 10:30,71,42,41,True
29,2021-07-07,2021-07-12,5,New York 10:30,63,38,29,True
29,2021-07-07,2021-07-12,5,New York 10:30,90,46,29,True
90,2021-07-12,2021-07-18,6,Quiniela Loteka,69,45,11,True
7,2021-07-13,2021-07-18,5,New York 2:30,69,45,11,True
7,2021-07-17,2021-07-18,1,New York 2:30,69,45,11,True
29,2021-07-14,2021-07-17,3,New York 2:30,7,42,29,True
29,2021-07-14,2021-07-17,3,New York 2:30,50,42,5,True
69,2021-07-18,2021-07-20,2,New York 2:30,52,38,85,True
7,2021-08-10,2021-08-11,1,New York 10:30,35,49,7,True
71,2021-08-10,2021-08-11,1,New York 2:30,35,49,7,True
23,2021-08-10,2021-08-16,6,New York 10:30,76,34,92,True
53,2021-08-10,2021-08-16,6,Quiniela Leidsa,76,34,92,True
35,2021-08-11,2021-08-16,5,New York 2:30,76,34,92,True
29,2021-08-22,2021-08-26,4,Gana Mas,8,40,80,True
29,2021-08-22,2021-08-26,4,Gana Mas,42,37,7,True
29,2021-08-22,2021-08-26,4,Gana Mas,72,40,59,True
93,2021-08-23,2021-08-26,3,Quiniela Real,8,40,80,True
93,2021-08-23,2021-08-26,3,Quiniela Real,42,37,7,True
93,2021-08-23,2021-08-26,3,Quiniela Real,72,40,59,True
89,2021-08-23,2021-08-24,1,Quiniela Leidsa,46,39,19,True
8,2021-08-26,2021-08-28,2,Quiniela Loteka,26,28,72,True
8,2021-08-26,2021-08-28,2,Quiniela Loteka,73,48,28,True
89,2021-08-27,2021-08-28,1,Quiniela Real,26,28,72,True
89,2021-08-27,2021-08-28,1,Quiniela Real,73,48,28,True
72,2021-08-26,2021-08-27,1,Quiniela Leidsa,89,48,71,True
79,2021-08-29,2021-08-31,2,Quiniela Loteka,9,39,70,True
79,2021-08-29,2021-08-31,2,Quiniela Loteka,30,39,3,True
59,2021-09-06,2021-09-08,2,Quiniela Leidsa,44,43,70,True
59,2021-09-06,2021-09-08,2,Quiniela Leidsa,92,43,68,True
7,2021-09-12,2021-09-18,6,New York 2:30,63,38,22,True
7,2021-09-12,2021-09-18,6,New York 2:30,97,52,93,True
7,2021-09-12,2021-09-18,6,New York 2:30,100,38,1,True
23,2021-09-12,2021-09-18,6,Loteria Nacional,63,38,22,True
23,2021-09-12,2021-09-18,6,Loteria Nacional,97,52,93,True
23,2021-09-12,2021-09-18,6,Loteria Nacional,100,38,1,True
29,2021-09-19,2021-09-25,6,New York 2:30,90,46,29,True
27,2021-09-21,2021-09-23,2,Loteria Nacional,53,28,9,True
27,2021-09-21,2021-09-23,2,Loteria Nacional,84,47,58,True
53,2021-09-23,2021-09-28,5,Gana Mas,8,40,80,True
53,2021-09-23,2021-09-28,5,Gana Mas,67,40,79,True
84,2021-09-23,2021-09-26,3,New York 10:30,35,49,22,True
8,2021-09-28,2021-09-29,1,New York 10:30,29,41,9,True
67,2021-09-28,2021-09-29,1,Loteria Nacional,29,41,9,True
56,2021-09-30,2021-10-01,1,Quiniela Loteka,28,43,23,True
56,2021-09-30,2021-10-01,1,Quiniela Loteka,44,43,53,True
28,2021-10-01,2021-10-04,3,Quiniela Real,9,39,35,True
28,2021-10-01,2021-10-04,3,Quiniela Real,11,35,69,True
35,2021-10-02,2021-10-04,2,Quiniela Real,9,39,35,True
35,2021-10-02,2021-10-04,2,Quiniela Real,11,35,69,True
63,2021-10-02,2021-10-04,2,Gana Mas,9,39,35,True
63,2021-10-02,2021-10-04,2,Gana Mas,11,35,69,True
63,2021-10-13,2021-10-15,2,Loteria Nacional,94,39,84,True
26,2021-10-16,2021-10-17,1,Quiniela Loteka,21,28,51,True
26,2021-10-16,2021-10-17,1,Quiniela Loteka,34,51,26,True
26,2021-10-16,2021-10-17,1,Quiniela Loteka,37,46,82,True
